Label,Count
,10543
Vulpes vulpes_Red Fox,308
Turdus merula_Eurasian Blackbird,290
Tetrastes bonasia_Hazel Grouse,60
Siren_Siren,376
Regulus regulus_Goldcrest,151
Pyrrhula pyrrhula_Eurasian Bullfinch,787
Prunella modularis_Dunnock,97
Picus canus_Grey-headed Woodpecker,12
Periparus ater_Coal Tit,40
Parus major_Great Tit,158
Ovis aries_Sheep,72
Lynx lynx_Eurasian lynx,112
Loxia curvirostra_Common Crossbill,190
Human vocal_Human vocal,25
Glaucidium passerinum_Eurasian Pygmy Owl,240
Garrulus glandarius_Eurasian Jay,35
Erithacus rubecula_European Robin,125
Engine_Engine,13
Dryocopus martius_Black Woodpecker,159
Dog_Dog,2499
Dendrocopos major_Great Spotted Woodpecker,61
Cygnus cygnus_Whooper Swan,75
Cyanistes caeruleus_Eurasian Blue Tit,64
Corvus cornix_Hooded Crow,124
Corvus corax_Common Raven,49
Clethrionomys glareolus_Bank vole,41
Certhia familiaris_Eurasian Treecreeper,762
Capreolus capreolus_Roe deer,332
Alces alces_Moose,239
